Country,Life Satisfaction
Australia,7.1
Austria,7.2
Belgium,6.8
Canada,7
Czech Republic,6.9
Denmark,7.5
Finland,7.9
France,6.7
Germany,7.3
Greece,5.8
Hungary,6
Iceland,7.6
Ireland,7
Italy,6.5
Japan,6.1
Korea,5.8
Luxembourg,7.4
Mexico,6
Netherlands,7.5
New Zealand,7.3
Norway,7.3
Poland,6.1
Portugal,5.8
Slovak Republic,6.5
Spain,6.5
Sweden,7.3
Switzerland,7.5
Turkey,4.9
United Kingdom,6.8
United States,7
Brazil,6.1
Chile,6.2
Estonia,6.5
Israel,7.2
Latvia,6.2
Russia,5.5
Slovenia,6.5
South Africa,4.9
OECD - Total,6.7
Colombia,5.7
Lithuania,6.4
